instance,index_of_system,number_of_subsystems,number_of_component_types,number_of_resource_types,number_of_q_terms,number_of_q_nodes,number_of_q_sorted_nodes,number_of_qr_terms,number_of_qr_nodes,number_of_qr_sorted_nodes,solution_model,number_of_vars,number_of_bin_vars,number_of_cons,number_of_nzs,number_of_bb_nodes,cpu_time,obj,solution
rrap_ns8_nh4_m2_seed2,6,8,4,2,64,117,86,24,64,49,[BASIC],6554,191,791,20745,1.66E+06,315.801,0.970908,"0	3	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1"
rrap_ns8_nh4_m2_seed3,6,8,4,2,64,117,86,24,64,49,[BASIC],5693,161,761,17589,27417,5.66691,0.943349,"0	0	3	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,6,8,4,2,64,117,86,24,64,49,[BASIC],5863,167,767,18278,1.15E+06,253.864,0.959951,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	"
rrap_ns8_nh2_m2_seed1,6,8,2,2,64,117,86,24,64,49,[TREE],1565,85,277,5022,1267,0.395145,0.944712,"4	0	1	0	2	0	0	1	0	1	1	0	0	2	1	0"
rrap_ns8_nh2_m2_seed2,6,8,2,2,64,117,86,24,64,49,[TREE],1319,65,257,4081,1958,0.448965,0.920896,"2	0	0	1	3	0	0	1	1	0	0	1	0	1	2	0"
rrap_ns8_nh2_m2_seed3,6,8,2,2,64,117,86,24,64,49,[TREE],1415,70,262,4437,6559,0.859219,0.841437,"0	2	0	1	0	2	0	1	1	0	1	0	0	1	2	0"
rrap_ns8_nh2_m2_seed4,6,8,2,2,64,117,86,24,64,49,[TREE],1281,72,264,3976,2781,0.74343,0.926089,"3	0	0	1	2	0	1	0	1	0	1	0	0	1	2	0"
rrap_ns8_nh3_m2_seed1,6,8,3,2,64,117,86,24,64,49,[TREE],2344,128,384,7585,154757,19.2392,0.943802,"0	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed2,6,8,3,2,64,117,86,24,64,49,[TREE],2460,143,399,8051,552744,62.3492,0.964835,"0	2	1	0	0	1	0	0	3	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0"
rrap_ns8_nh3_m2_seed3,6,8,3,2,64,117,86,24,64,49,[TREE],2706,154,410,8956,366711,43.0999,0.976913,"3	0	0	0	0	1	2	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0"
rrap_ns8_nh3_m2_seed4,6,8,3,2,64,117,86,24,64,49,[TREE],3052,172,428,10239,470744,45.5647,0.984792,"2	2	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,6,8,4,2,64,117,86,24,64,49,[TREE],2191,117,437,6670,4855,1.02333,0.927419,"0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,6,8,4,2,64,117,86,24,64,49,[TREE],3361,191,511,11061,2.21E+06,247.336,0.970908,"0	3	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1"
rrap_ns8_nh4_m2_seed3,6,8,4,2,64,117,86,24,64,49,[TREE],2885,161,481,9275,24142,2.46121,0.943349,"0	0	3	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,6,8,4,2,64,117,86,24,64,49,[TREE],2991,167,487,9670,3.03E+06,357.901,0.959951,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	"
rrap_ns8_nh2_m2_seed1,6,8,2,2,64,117,86,24,64,49,[OB-TREE],1162,85,232,3792,1327,0.40045,0.944712,"4	0	1	0	2	0	0	1	0	1	1	0	0	2	1	0"
rrap_ns8_nh2_m2_seed2,6,8,2,2,64,117,86,24,64,49,[OB-TREE],974,65,212,3054,2231,0.392197,0.920896,"2	0	0	1	3	0	0	1	1	0	0	1	0	1	2	0"
rrap_ns8_nh2_m2_seed3,6,8,2,2,64,117,86,24,64,49,[OB-TREE],1030,70,217,3270,6723,1.2619,0.841437,"0	2	0	1	0	2	0	1	1	0	1	0	0	1	2	0"
rrap_ns8_nh2_m2_seed4,6,8,2,2,64,117,86,24,64,49,[OB-TREE],1002,72,219,3180,4246,1.57179,0.926089,"3	0	0	1	2	0	1	0	1	0	1	0	0	1	2	0"
rrap_ns8_nh3_m2_seed1,6,8,3,2,64,117,86,24,64,49,[OB-TREE],1790,128,324,5894,137279,16.0542,0.943802,"0	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed2,6,8,3,2,64,117,86,24,64,49,[OB-TREE],1902,143,339,6346,479921,53.3152,0.964835,"0	2	1	0	0	1	0	0	3	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0"
rrap_ns8_nh3_m2_seed3,6,8,3,2,64,117,86,24,64,49,[OB-TREE],2038,154,350,6866,186004,26.7206,0.976913,"3	0	0	0	0	1	2	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0"
rrap_ns8_nh3_m2_seed4,6,8,3,2,64,117,86,24,64,49,[OB-TREE],2238,172,368,7638,271241,32.1441,0.984792,"2	2	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,6,8,4,2,64,117,86,24,64,49,[OB-TREE],1654,117,362,5106,5483,0.938087,0.927419,"0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,6,8,4,2,64,117,86,24,64,49,[OB-TREE],2574,191,436,8622,1.55E+06,194.936,0.970908,"0	3	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1"
rrap_ns8_nh4_m2_seed3,6,8,4,2,64,117,86,24,64,49,[OB-TREE],2202,161,406,7200,21159,3.51493,0.943349,"0	0	3	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,6,8,4,2,64,117,86,24,64,49,[OB-TREE],2250,167,412,7392,1.17E+06,179.629,0.959951,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	"
rrap_ns8_nh2_m2_seed1,7,8,2,2,34,77,57,25,87,56,[Q-BASIC],4830,85,473,13242,2753,1.19606,0.992826,"3	0	1	0	2	0	0	1	0	1	2	1	0	1	1	0"
rrap_ns8_nh2_m2_seed2,7,8,2,2,34,77,57,25,87,56,[Q-BASIC],4441,65,453,11416,1769,1.89434,0.983266,"1	0	0	1	3	0	0	1	1	0	0	2	1	0	2	0"
rrap_ns8_nh2_m2_seed3,7,8,2,2,34,77,57,25,87,56,[Q-BASIC],4587,70,458,11968,4598,2.4133,0.970729,"0	2	0	1	0	1	0	1	0	1	3	0	0	1	1	0"
rrap_ns8_nh2_m2_seed4,7,8,2,2,34,77,57,25,87,56,[Q-BASIC],4559,72,460,12018,2026,0.93028,0.988702,"1	0	0	1	3	0	1	0	0	1	1	0	0	1	3	0"
rrap_ns8_nh3_m2_seed1,7,8,3,2,34,77,57,25,87,56,[Q-BASIC],6328,128,710,18072,46242,14.6953,0.995485,"0	0	1	0	0	2	0	0	3	1	0	0	1	0	0	0	0	1	0	1	0	3	0	0"
rrap_ns8_nh3_m2_seed2,7,8,3,2,34,77,57,25,87,56,[Q-BASIC],6681,143,725,19566,156321,29.2856,0.997129,"0	1	0	0	0	4	0	0	1	1	0	0	0	0	1	1	0	0	1	2	0	0	1	0"
rrap_ns8_nh3_m2_seed3,7,8,3,2,34,77,57,25,87,56,[Q-BASIC],6905,154,736,20586,130257,25.0162,0.998746,"1	0	0	0	0	1	2	2	0	0	1	0	1	0	0	1	0	0	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed4,7,8,3,2,34,77,57,25,87,56,[Q-BASIC],7234,172,754,22184,196640,36.7124,0.998731,"0	2	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,7,8,4,2,34,77,57,25,87,56,[Q-BASIC],6520,117,893,17448,1574,1.59361,0.988138,"0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,7,8,4,2,34,77,57,25,87,56,[Q-BASIC],8197,191,967,24694,437339,89.211,0.998742,"0	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3"
rrap_ns8_nh4_m2_seed3,7,8,4,2,34,77,57,25,87,56,[Q-BASIC],7537,161,937,21788,12215,3.67094,0.996092,"0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,7,8,4,2,34,77,57,25,87,56,[Q-BASIC],7704,167,943,22448,432402,109.216,0.99383,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	"
rrap_ns8_nh2_m2_seed1,7,8,2,2,34,77,57,25,87,56,[Q-TREE],1752,85,239,5586,3236,0.968487,0.992823,"3	0	1	0	2	0	0	1	0	1	2	1	0	1	1	0"
rrap_ns8_nh2_m2_seed2,7,8,2,2,34,77,57,25,87,56,[Q-TREE],1530,65,219,4729,1817,1.05008,0.983266,"1	0	0	1	3	0	0	1	1	0	0	2	1	0	2	0"
rrap_ns8_nh2_m2_seed3,7,8,2,2,34,77,57,25,87,56,[Q-TREE],1632,70,224,5106,4821,2.00496,0.970729,"0	2	0	1	0	1	0	1	0	1	3	0	0	1	1	0"
rrap_ns8_nh2_m2_seed4,7,8,2,2,34,77,57,25,87,56,[Q-TREE],1502,72,226,4659,3163,1.67195,0.988702,"1	0	0	1	3	0	1	0	0	1	1	0	0	1	3	0"
rrap_ns8_nh3_m2_seed1,7,8,3,2,34,77,57,25,87,56,[Q-TREE],2842,128,359,9179,58933,13.0909,0.995482,"0	0	1	0	0	2	0	0	3	1	0	0	1	0	0	0	0	1	0	1	0	3	0	0"
rrap_ns8_nh3_m2_seed2,7,8,3,2,34,77,57,25,87,56,[Q-TREE],2868,143,374,9330,169063,24.8411,0.997124,"0	1	0	0	0	4	0	0	1	1	0	0	0	0	1	1	0	0	1	2	0	0	1	0"
rrap_ns8_nh3_m2_seed3,7,8,3,2,34,77,57,25,87,56,[Q-TREE],3126,154,385,10277,129817,23.195,0.998743,"1	0	0	0	0	1	2	2	0	0	1	0	1	0	0	1	0	0	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed4,7,8,3,2,34,77,57,25,87,56,[Q-TREE],3544,172,403,11812,269960,30.126,0.998733,"0	2	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,7,8,4,2,34,77,57,25,87,56,[Q-TREE],2560,117,425,7754,2462,1.72364,0.988138,"0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,7,8,4,2,34,77,57,25,87,56,[Q-TREE],3966,191,499,12971,369421,61.9325,0.998734,"0	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3"
rrap_ns8_nh4_m2_seed3,7,8,4,2,34,77,57,25,87,56,[Q-TREE],3396,161,469,10856,12054,2.01599,0.996093,"0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,7,8,4,2,34,77,57,25,87,56,[Q-TREE],3508,167,475,11272,768731,138.269,0.99383,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	"
rrap_ns8_nh2_m2_seed1,7,8,2,2,34,77,57,25,87,56,[Q-OB-TREE],1295,85,199,4213,3856,1.725,0.992825,"3	0	1	0	2	0	0	1	0	1	2	1	0	1	1	0"
rrap_ns8_nh2_m2_seed2,7,8,2,2,34,77,57,25,87,56,[Q-OB-TREE],1113,65,179,3496,1695,0.514448,0.983266,"1	0	0	1	3	0	0	1	1	0	0	2	1	0	2	0"
rrap_ns8_nh2_m2_seed3,7,8,2,2,34,77,57,25,87,56,[Q-OB-TREE],1193,70,184,3796,5387,1.56051,0.970729,"0	2	0	1	0	1	0	1	0	1	3	0	0	1	1	0"
rrap_ns8_nh2_m2_seed4,7,8,2,2,34,77,57,25,87,56,[Q-OB-TREE],1129,72,186,3580,2687,0.503045,0.988702,"1	0	0	1	3	0	1	0	0	1	1	0	0	1	3	0"
rrap_ns8_nh3_m2_seed1,7,8,3,2,34,77,57,25,87,56,[Q-OB-TREE],2071,128,299,6797,70125,9.54289,0.995482,"0	0	1	0	0	2	0	0	3	1	0	0	1	0	0	0	0	1	0	1	0	3	0	0"
rrap_ns8_nh3_m2_seed2,7,8,3,2,34,77,57,25,87,56,[Q-OB-TREE],2119,143,314,7025,169074,19.2015,0.997127,"0	1	0	0	0	4	0	0	1	1	0	0	0	0	1	1	0	0	1	2	0	0	1	0"
rrap_ns8_nh3_m2_seed3,7,8,3,2,34,77,57,25,87,56,[Q-OB-TREE],2327,154,325,7797,163564,15.0348,0.998743,"1	0	0	0	0	1	2	2	0	0	1	0	1	0	0	1	0	0	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed4,7,8,3,2,34,77,57,25,87,56,[Q-OB-TREE],2621,172,343,8898,319108,26.2963,0.99873,"0	2	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,7,8,4,2,34,77,57,25,87,56,[Q-OB-TREE],1891,117,345,5819,3309,1.64123,0.988138,"0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,7,8,4,2,34,77,57,25,87,56,[Q-OB-TREE],2899,191,419,9643,738034,75.6513,0.998738,"0	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3"
rrap_ns8_nh4_m2_seed3,7,8,4,2,34,77,57,25,87,56,[Q-OB-TREE],2523,161,389,8207,14698,1.65337,0.996091,"0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,7,8,4,2,34,77,57,25,87,56,[Q-OB-TREE],2533,167,395,8266,971864,103.331,0.993832,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	"
rrap_ns8_nh2_m2_seed1,7,8,2,2,34,77,57,25,87,56,[BASIC],3449,85,475,10419,4623,2.68381,0.992824,"3	0	1	0	2	0	0	1	0	1	2	1	0	1	1	0"
rrap_ns8_nh2_m2_seed2,7,8,2,2,34,77,57,25,87,56,[BASIC],2807,65,455,8125,3778,1.28278,0.983266,"1	0	0	1	3	0	0	1	1	0	0	2	1	0	2	0"
rrap_ns8_nh2_m2_seed3,7,8,2,2,34,77,57,25,87,56,[BASIC],2961,70,460,8685,9884,2.25944,0.970729,"0	2	0	1	0	1	0	1	0	1	3	0	0	1	1	0"
rrap_ns8_nh2_m2_seed4,7,8,2,2,34,77,57,25,87,56,[BASIC],3135,72,462,9235,7565,1.13481,0.988702,"1	0	0	1	3	0	1	0	0	1	1	0	0	1	3	0"
rrap_ns8_nh3_m2_seed1,7,8,3,2,34,77,57,25,87,56,[BASIC],4868,128,648,15009,187353,39.3494,0.995478,"0	0	1	0	0	2	0	0	3	1	0	0	1	0	0	0	0	1	0	1	0	3	0	0"
rrap_ns8_nh3_m2_seed2,7,8,3,2,34,77,57,25,87,56,[BASIC],5378,143,663,16806,487547,70.28,0.997124,"0	1	0	0	0	4	0	0	1	1	0	0	0	0	1	1	0	0	1	2	0	0	1	0"
rrap_ns8_nh3_m2_seed3,7,8,3,2,34,77,57,25,87,56,[BASIC],5754,154,674,18306,449045,68.5932,0.998743,"1	0	0	0	0	1	2	2	0	0	1	0	1	0	0	1	0	0	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed4,7,8,3,2,34,77,57,25,87,56,[BASIC],6341,172,692,20412,1.05E+06,152.331,0.99873,"0	2	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,7,8,4,2,34,77,57,25,87,56,[BASIC],4745,117,767,13936,7482,3.72324,0.988138,"0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,7,8,4,2,34,77,57,25,87,56,[BASIC],7075,191,841,22378,2.92E+06,597.294,0.998734,"0	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3"
rrap_ns8_nh4_m2_seed3,7,8,4,2,34,77,57,25,87,56,[BASIC],6085,161,811,18796,39572,6.90901,0.99609,"0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,7,8,4,2,34,77,57,25,87,56,[BASIC],6281,167,817,19485,3.03E+06,563.704,0.99383,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	"
rrap_ns8_nh2_m2_seed1,7,8,2,2,34,77,57,25,87,56,[TREE],2109,85,346,6675,4147,0.937458,0.992823,"3	0	1	0	2	0	0	1	0	1	2	1	0	1	1	0"
rrap_ns8_nh2_m2_seed2,7,8,2,2,34,77,57,25,87,56,[TREE],1747,65,326,5328,3004,1.78159,0.983266,"1	0	0	1	3	0	0	1	1	0	0	2	1	0	2	0"
rrap_ns8_nh2_m2_seed3,7,8,2,2,34,77,57,25,87,56,[TREE],1859,70,331,5740,10445,1.75449,0.970729,"0	2	0	1	0	1	0	1	0	1	3	0	0	1	1	0"
rrap_ns8_nh2_m2_seed4,7,8,2,2,34,77,57,25,87,56,[TREE],1855,72,333,5734,4333,1.19655,0.988702,"1	0	0	1	3	0	1	0	0	1	1	0	0	1	3	0"
rrap_ns8_nh3_m2_seed1,7,8,3,2,34,77,57,25,87,56,[TREE],3111,128,476,9915,99072,25.1642,0.99548,"0	0	1	0	0	2	0	0	3	1	0	0	1	0	0	0	0	1	0	1	0	3	0	0"
rrap_ns8_nh3_m2_seed2,7,8,3,2,34,77,57,25,87,56,[TREE],3359,143,491,10843,515367,78.5437,0.997124,"0	1	0	0	0	4	0	0	1	1	0	0	0	0	1	1	0	0	1	2	0	0	1	0"
rrap_ns8_nh3_m2_seed3,7,8,3,2,34,77,57,25,87,56,[TREE],3747,154,502,12245,342446,63.2723,0.998743,"1	0	0	0	0	1	2	2	0	0	1	0	1	0	0	1	0	0	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed4,7,8,3,2,34,77,57,25,87,56,[TREE],4117,172,520,13612,461541,72.5573,0.998729,"0	2	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,7,8,4,2,34,77,57,25,87,56,[TREE],3009,117,552,9075,7372,2.98443,0.988138,"0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,7,8,4,2,34,77,57,25,87,56,[TREE],4577,191,626,14859,1.06E+06,212.043,0.998734,"0	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3"
rrap_ns8_nh4_m2_seed3,7,8,4,2,34,77,57,25,87,56,[TREE],3913,161,596,12415,20567,4.08763,0.996087,"0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,7,8,4,2,34,77,57,25,87,56,[TREE],4007,167,602,12768,1.71E+06,341.936,0.993827,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	"
rrap_ns8_nh2_m2_seed1,7,8,2,2,34,77,57,25,87,56,[OB-TREE],1345,85,253,4353,4710,1.22353,0.992823,"3	0	1	0	2	0	0	1	0	1	2	1	0	1	1	0"
rrap_ns8_nh2_m2_seed2,7,8,2,2,34,77,57,25,87,56,[OB-TREE],1101,65,233,3419,2957,0.641386,0.983266,"1	0	0	1	3	0	0	1	1	0	0	2	1	0	2	0"
rrap_ns8_nh2_m2_seed3,7,8,2,2,34,77,57,25,87,56,[OB-TREE],1177,70,238,3705,9333,1.46657,0.970729,"0	2	0	1	0	1	0	1	0	1	3	0	0	1	1	0"
rrap_ns8_nh2_m2_seed4,7,8,2,2,34,77,57,25,87,56,[OB-TREE],1173,72,240,3699,6855,1.04433,0.988702,"1	0	0	1	3	0	1	0	0	1	1	0	0	1	3	0"
rrap_ns8_nh3_m2_seed1,7,8,3,2,34,77,57,25,87,56,[OB-TREE],2060,128,352,6728,128143,22.0276,0.995479,"0	0	1	0	0	2	0	0	3	1	0	0	1	0	0	0	0	1	0	1	0	3	0	0"
rrap_ns8_nh3_m2_seed2,7,8,3,2,34,77,57,25,87,56,[OB-TREE],2242,143,367,7425,980127,120.544,0.997124,"0	1	0	0	0	4	0	0	1	1	0	0	0	0	1	1	0	0	1	2	0	0	1	0"
rrap_ns8_nh3_m2_seed3,7,8,3,2,34,77,57,25,87,56,[OB-TREE],2338,154,378,7805,513173,65.6199,0.998743,"1	0	0	0	0	1	2	2	0	0	1	0	1	0	0	1	0	0	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed4,7,8,3,2,34,77,57,25,87,56,[OB-TREE],2564,172,396,8668,516268,68.2126,0.998729,"0	2	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,7,8,4,2,34,77,57,25,87,56,[OB-TREE],1889,117,397,5786,7756,1.33324,0.988138,"0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,7,8,4,2,34,77,57,25,87,56,[OB-TREE],2957,191,471,9820,1.97E+06,349.429,0.998734,"0	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3"
rrap_ns8_nh4_m2_seed3,7,8,4,2,34,77,57,25,87,56,[OB-TREE],2537,161,441,8230,28176,6.15751,0.996087,"0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,7,8,4,2,34,77,57,25,87,56,[OB-TREE],2601,167,447,8478,2.44E+06,353.038,0.993827,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	"
rrap_ns9_nh2_m2_seed1,8,9,2,2,71,128,108,48,132,99,[Q-BASIC],15815,120,980,41736,32062,10.578,0.967738,"1	0	0	3	0	1	1	0	1	0	0	2	1	0	0	1	0	3"
rrap_ns9_nh2_m2_seed2,8,9,2,2,71,128,108,48,132,99,[Q-BASIC],16719,139,999,45422,26431,7.61887,0.990289,"0	2	0	2	0	1	4	0	1	0	0	1	1	0	4	0	0	1"
rrap_ns9_nh2_m2_seed3,8,9,2,2,71,128,108,48,132,99,[Q-BASIC],16822,144,1004,46106,98348,33.5304,0.984366,"2	0	2	0	0	1	0	2	1	0	2	0	1	0	0	2	4	0"
rrap_ns9_nh2_m2_seed4,8,9,2,2,71,128,108,48,132,99,[Q-BASIC],17235,152,1012,47772,76626,31.0613,0.988578,"1	0	4	0	1	0	1	0	1	0	0	3	1	0	0	1	2	2"
rrap_ns9_nh3_m2_seed1,8,9,3,2,71,128,108,48,132,99,[Q-BASIC],19455,178,1468,53801,288880,83.1309,0.989594,"0	3	0	0	0	1	0	1	0	2	0	1	0	0	1	0	0	1	0	0	1	0	3	0	0	1	0"
rrap_ns9_nh3_m2_seed2,8,9,3,2,71,128,108,48,132,99,[Q-BASIC],16718,115,1405,42167,6659,2.64992,0.916113,"0	1	0	0	0	2	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	2"
rrap_ns9_nh3_m2_seed3,8,9,3,2,71,128,108,48,132,99,[Q-BASIC],17030,122,1412,43517,6911,3.07275,0.943198,"0	1	0	0	0	2	0	1	0	1	0	0	0	0	1	0	2	0	1	0	0	1	0	0	2	0	0"
rrap_ns9_nh3_m2_seed4,8,9,3,2,71,128,108,48,132,99,[Q-BASIC],18336,150,1440,48883,54848,28.6407,0.96056,"0	2	0	0	0	2	0	0	1	0	1	0	1	0	0	0	2	0	1	0	0	2	0	0	0	1	1"
rrap_ns9_nh4_m2_seed1,8,9,4,2,71,128,108,48,132,99,[Q-BASIC],22095,215,1935,62006,63378,23.7072,0.99046,"1	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	2"
rrap_ns9_nh4_m2_seed2,8,9,4,2,71,128,108,48,132,99,[Q-BASIC],22511,222,1942,63508,979151,278.686,0.9777,"0	0	3	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	1"
rrap_ns9_nh4_m2_seed3,8,9,4,2,71,128,108,48,132,99,[Q-BASIC],21205,192,1912,57946,190455,79.2677,0.975312,"0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	1	0	0	0"
rrap_ns9_nh4_m2_seed4,8,9,4,2,71,128,108,48,132,99,[Q-BASIC],21658,204,1924,59930,333932,133.475,0.972425,"0	1	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	2	0	2	0	0	"
rrap_ns9_nh2_m2_seed1,8,9,2,2,71,128,108,48,132,99,[Q-TREE],3775,120,376,12247,41495,15.6124,0.967739,"1	0	0	3	0	1	1	0	1	0	0	2	1	0	0	1	0	3"
rrap_ns9_nh2_m2_seed2,8,9,2,2,71,128,108,48,132,99,[Q-TREE],4371,139,395,14409,31185,10.688,0.990301,"0	2	0	2	0	1	4	0	1	0	0	1	1	0	4	0	0	1"
rrap_ns9_nh2_m2_seed3,8,9,2,2,71,128,108,48,132,99,[Q-TREE],4663,144,400,15451,110797,20.461,0.984371,"2	0	2	0	0	1	0	2	1	0	2	0	1	0	0	2	4	0"
